# line,type,amount,ministry,source
1,Έσοδα,45654498000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11 Φόροι
2,Έσοδα,55000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,12 Κοινωνικές εισφορές
3,Έσοδα,7376000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,13 Μεταβιβάσεις
4,Έσοδα,2092000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,14 Πωλήσεις αγαθών και υπηρεσιών
5,Έσοδα,1911000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,15 Λοιπά τρέχοντα έσοδα
6,Έσοδα,13000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,31 Πάγια περιουσιακά στοιχεία
7,Έσοδα,31000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,43 Χρεωστικοί τίτλοι
8,Έσοδα,6000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,52 Υποχρεώσεις από Νόμισμα και καταθέσεις
9,Έσοδα,36954000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,53 Χρεωστικοί τίτλοι (Υποχρεώσεις)
10,Έσοδα,701846000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,54 Δάνεια
11,Έσοδα,45654498000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11 Φόροι
12,Έσοδα,25799498000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,111 Φόροι επί αγαθών και υπηρεσιών
13,Έσοδα,10215000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11101 Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ
14,Έσοδα,3000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110102 ΦΠΑ στις νέες οικοδομές
15,Έσοδα,3000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110102001 ΦΠΑ στις νέες οικοδομές
16,Έσοδα,10212000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110189 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.
17,Έσοδα,10212000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110189001 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.
18,Έσοδα,5986000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11102 Φόροι προστιθέμενης αξίας που εισπράττονται από τελωνεία
19,Έσοδα,1963000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110201 ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών
20,Έσοδα,374000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110202 ΦΠΑ στα οχήματα
21,Έσοδα,374000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110202001 ΦΠΑ στα οχήματα
22,Έσοδα,249000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110203 ΦΠΑ στην αιθυλική αλκοόλη
23,Έσοδα,249000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110203001 ΦΠΑ στην αιθυλική αλκοόλη
24,Έσοδα,13000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110204 ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο
25,Έσοδα,13000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110204001 ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο
26,Έσοδα,663000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110205 ΦΠΑ καπνικών προϊόντων
27,Έσοδα,654000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110205001 ΦΠΑ καπνικών προϊόντων - εγχώρια και από Ε.Ε.
28,Έσοδα,9000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110205002 ΦΠΑ καπνικών προϊόντων - εισαγόμενα από τρίτες χώρες
29,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110206 ΦΠΑ εισαγωγής από ηλεκτρονικό εμπόριο
30,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110206002 ΦΠΑ εισαγωγής από τις ειδικές ρυθμίσεις – special arrangements
31,Έσοδα,2723000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110289 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων
32,Έσοδα,7015000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11103 Ειδικοί φόροι κατανάλωσης
33,Έσοδα,106000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110301 ΕΦΚ υγραερίων
34,Έσοδα,104000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110301001 ΕΦΚ υγραερίων - προϊόντα εγχώρια και από Ε.Ε.
35,Έσοδα,2000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110301002 ΕΦΚ υγραερίων  - εισαγόμενα προϊόντα
36,Έσοδα,2137000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110302 ΕΦΚ βενζινών
37,Έσοδα,2137000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110302001 ΕΦΚ βενζινών  - προϊόντα εγχώρια και από Ε.Ε.
38,Έσοδα,1381000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110303 ΕΦΚ diesel κίνησης
39,Έσοδα,1175000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110303001 ΕΦΚ diesel κίνησης  - προϊόντα εγχώρια και από Ε.Ε.
40,Έσοδα,206000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110303002 ΕΦΚ diesel κίνησης   - εισαγόμενα προϊόντα
41,Έσοδα,359000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110304 ΕΦΚ diesel θέρμανσης
42,Έσοδα,281000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110304001 ΕΦΚ diesel θέρμανσης - προϊόντα εγχώρια και από Ε.Ε.
43,Έσοδα,78000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110304002 ΕΦΚ diesel θέρμανσης  - εισαγόμενα προϊόντα
44,Έσοδα,166000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110305 ΕΦΚ στην ηλεκτρική ενέργεια
45,Έσοδα,166000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110305001 ΕΦΚ στην ηλεκτρική ενέργεια
46,Έσοδα,34000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110306 ΕΦΚ στο φυσικό αέριο
47,Έσοδα,34000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110306001 ΕΦΚ στο φυσικό αέριο
48,Έσοδα,42000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110309 ΕΦΚ λοιπών ενεργειακών προϊόντων
49,Έσοδα,25000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110309001 ΕΦΚ λοιπών ενεργειακών προϊόντων - εγχώρια και από Ε.Ε.
50,Έσοδα,2142000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110310 ΕΦΚ στα προϊόντα καπνού
51,Έσοδα,2132000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110310001 ΕΦΚ στα προϊόντα καπνού - εγχώρια και από Ε.Ε.
52,Έσοδα,10000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110310002 ΕΦΚ στα προϊόντα καπνού - εισαγόμενα από τρίτες χώρες
53,Έσοδα,291000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110311 ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων
54,Έσοδα,197000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110312 ΕΦΚ στη μπύρα
55,Έσοδα,197000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110312001 ΕΦΚ στη μπύρα - προϊόντα εγχώρια και από Ε.Ε.
56,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110313 ΕΦΚ στο κρασί
57,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110313001 ΕΦΚ στο κρασί - προϊόντα εγχώρια και από Ε.Ε.
58,Έσοδα,140000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110314 Φόρος κατανάλωσης στον καφέ
59,Έσοδα,89000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110314001 Φόρος κατανάλωσης στον καφέ - προϊόντα εγχώρια και από Ε.Ε.
60,Έσοδα,51000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110314002 Φόρος κατανάλωσης στον καφέ - εισαγόμενα προϊόντα
61,Έσοδα,4000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110315 Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο
62,Έσοδα,10000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110317001 Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε κυκλοφορία
