# line,type,amount,ministry,source
1,Έσοδα,47228000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11 Φόροι
2,Έσοδα,55000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,12 Κοινωνικές εισφορές
3,Έσοδα,3880000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,13 Μεταβιβάσεις
4,Έσοδα,692000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,14 Πωλήσεις αγαθών και υπηρεσιών
5,Έσοδα,1564000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,15 Λοιπά τρέχοντα έσοδα
6,Έσοδα,332000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,31 Πάγια περιουσιακά στοιχεία
7,Έσοδα,550000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,43 Χρεωστικοί τίτλοι
8,Έσοδα,19000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,52 Υποχρεώσεις από Νόμισμα και καταθέσεις
9,Έσοδα,22761145000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,53 Χρεωστικοί τίτλοι (Υποχρεώσεις)
10,Έσοδα,600000000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,54 Δάνεια
11,Έσοδα,47228000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11 Φόροι
12,Έσοδα,26400000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,111 Φόροι επί αγαθών και υπηρεσιών
13,Έσοδα,10553000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11101 Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ
14,Έσοδα,25000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110102 ΦΠΑ στις νέες οικοδομές
15,Έσοδα,25000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110102001 ΦΠΑ στις νέες οικοδομές
16,Έσοδα,10528000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110189 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.
