# line,type,amount,ministry,source
44,Έσοδα,31000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110304002 ΕΦΚ diesel θέρμανσης  - εισαγόμενα προϊόντα
45,Έσοδα,161000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110305 ΕΦΚ στην ηλεκτρική ενέργεια
46,Έσοδα,161000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110305001 ΕΦΚ στην ηλεκτρική ενέργεια
47,Έσοδα,37000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110306 ΕΦΚ στο φυσικό αέριο
48,Έσοδα,37000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110306001 ΕΦΚ στο φυσικό αέριο
49,Έσοδα,39000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110309 ΕΦΚ λοιπών ενεργειακών προϊόντων
50,Έσοδα,32000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110309001 ΕΦΚ λοιπών ενεργειακών προϊόντων - εγχώρια και από Ε.Ε.
51,Έσοδα,2168000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110310 ΕΦΚ στα προϊόντα καπνού
52,Έσοδα,2158000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110310001 ΕΦΚ στα προϊόντα καπνού - εγχώρια και από Ε.Ε.
53,Έσοδα,10000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110310002 ΕΦΚ στα προϊόντα καπνού - εισαγόμενα από τρίτες χώρες
54,Έσοδα,362000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110311 ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων
55,Έσοδα,204000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110312 ΕΦΚ στη μπύρα
56,Έσοδα,204000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110312001 ΕΦΚ στη μπύρα - προϊόντα εγχώρια και από Ε.Ε.
57,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110313 ΕΦΚ στο κρασί
58,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110313001 ΕΦΚ στο κρασί - προϊόντα εγχώρια και από Ε.Ε.
59,Έσοδα,152000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110314 Φόρος κατανάλωσης στον καφέ
60,Έσοδα,98000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110314001 Φόρος κατανάλωσης στον καφέ - προϊόντα εγχώρια και από Ε.Ε.
61,Έσοδα,54000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110314002 Φόρος κατανάλωσης στον καφέ - εισαγόμενα προϊόντα
62,Έσοδα,6000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110315 Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο
63,Έσοδα,10000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110317001 Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε κυκλοφορία
64,Έσοδα,9000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110318 Ειδικός φόρος πολυτελείας εμπορευμάτων
65,Έσοδα,288000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11104 Φόροι με μορφή χαρτοσήμου
66,Έσοδα,128000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110401 Τέλη χαρτοσήμου σε μισθώματα από ακίνητα
67,Έσοδα,128000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110401001 Τέλη χαρτοσήμου σε μισθώματα από ακίνητα
68,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110402 Τέλη χαρτοσήμου σε ασφαλιστικές επιχειρήσεις
69,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110402001 Τέλη χαρτοσήμου σε ασφαλιστικές επιχειρήσεις
70,Έσοδα,40000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110403 Πρόσθετο ποσοστό 20% στα τέλη χαρτοσήμου
71,Έσοδα,40000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110403001 Πρόσθετο ποσοστό 20% στα τέλη χαρτοσήμου
72,Έσοδα,119000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110489 Λοιπά τέλη χαρτοσήμου
73,Έσοδα,119000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110489001 Λοιπά τέλη χαρτοσήμου
74,Έσοδα,598000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11105 Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών
75,Έσοδα,119000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110501 Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων
76,Έσοδα,119000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110501001 Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων
77,Έσοδα,369000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110502 Φόρος στη μεταβίβαση οικοδομών
78,Έσοδα,369000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110502001 Φόρος στη μεταβίβαση οικοδομών
79,Έσοδα,25000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110503 Φόρος στη συγκέντρωση κεφαλαίων
80,Έσοδα,25000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110503001 Φόρος στη συγκέντρωση κεφαλαίων
81,Έσοδα,46000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110507 Φόρος επί των χρηματιστηριακών συναλλαγών
82,Έσοδα,46000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110507001 Φόρος επί των χρηματιστηριακών συναλλαγών
83,Έσοδα,395000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11106 Φόροι ταξινόμησης οχημάτων
84,Έσοδα,329000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110601 Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα
85,Έσοδα,44000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110602 Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα
86,Έσοδα,29000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110602001 Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα - εγχώρια και από Ε.Ε.
87,Έσοδα,12000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110609 Τέλος ταξινόμησης λοιπών οχημάτων
88,Έσοδα,8000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110609001 Τέλος ταξινόμησης λοιπών οχημάτων - εγχώρια και από Ε.Ε.
89,Έσοδα,10000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110610 Έκτακτο περιβαλλοντικό τέλος οχημάτων
90,Έσοδα,10000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110610001 Έκτακτο περιβαλλοντικό τέλος οχημάτων
91,Έσοδα,1604000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11108 Λοιποί φόροι επί συγκεκριμένων υπηρεσιών
92,Έσοδα,2000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110801 Φόροι στα κρατικά λαχεία
93,Έσοδα,2000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110801001 Φόροι στα κρατικά λαχεία
94,Έσοδα,36000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110802 Φόροι στα μικτά κέρδη των καζίνο
95,Έσοδα,10000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110802001 Φόροι στα μικτά κέρδη των καζίνο Κέρκυρας και Πάρνηθας
96,Έσοδα,26000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110802002 Φόροι στα μικτά κέρδη των λοιπών καζίνο
97,Έσοδα,489000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110803 Φόροι στα μικτά κέρδη τυχερών παιγνίων
98,Έσοδα,489000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110803001 Φόροι στα μικτά κέρδη τυχερών παιγνίων
99,Έσοδα,116000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110810 Τέλη Eurocontrol
100,Έσοδα,116000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110810001 Τέλη Eurocontrol
101,Έσοδα,30000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110811 Τέλη εκσυγχρονισμού και ανάπτυξης αερολιμένων
102,Έσοδα,30000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110811001 Τέλη εκσυγχρονισμού και ανάπτυξης αερολιμένων
103,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110813 Τέλος ΑμεΑ στα αεροπορικά εισιτήρια
