# line,type,amount,ministry,source
1,Έσοδα,56597000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11 Φόροι
2,Έσοδα,56000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,12 Κοινωνικές εισφορές
3,Έσοδα,7960000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,13 Μεταβιβάσεις
4,Έσοδα,5547000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,14 Πωλήσεις αγαθών και υπηρεσιών
5,Έσοδα,2555000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,15 Λοιπά τρέχοντα έσοδα
6,Έσοδα,23000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,31 Πάγια περιουσιακά στοιχεία
7,Έσοδα,11000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,43 Χρεωστικοί τίτλοι
8,Έσοδα,55000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,52 Υποχρεώσεις από νόμισμα και καταθέσεις
9,Έσοδα,28205000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,53 Χρεωστικοί τίτλοι (Υποχρεώσεις)
10,Έσοδα,1004195000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,54 Δάνεια
11,Έσοδα,1350000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,57 Χρηματοοικονομικά παράγωγα
12,Έσοδα,56597000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11 Φόροι
13,Έσοδα,31476000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,111 Φόροι επί αγαθών και υπηρεσιών
14,Έσοδα,13131000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11101 Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ
15,Έσοδα,305000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110103 ΦΠΑ από ηλεκτρονικό εμπόριο
16,Έσοδα,12826000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110189 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.
17,Έσοδα,12826000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110189001 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.
18,Έσοδα,7623000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11102 Φόροι προστιθέμενης αξίας που εισπράττονται από τελωνεία
19,Έσοδα,2425000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110201 ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών
20,Έσοδα,569000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110202 ΦΠΑ στα οχήματα
21,Έσοδα,569000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110202001 ΦΠΑ στα οχήματα
22,Έσοδα,317000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110203 ΦΠΑ στην αιθυλική αλκοόλη
23,Έσοδα,317000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110203001 ΦΠΑ στην αιθυλική αλκοόλη
24,Έσοδα,11000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110204 ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο
25,Έσοδα,11000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110204001 ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο
26,Έσοδα,674000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110205 ΦΠΑ καπνικών προϊόντων
27,Έσοδα,654000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110205001 ΦΠΑ καπνικών προϊόντων - εγχώρια και από Ε.Ε.
28,Έσοδα,20000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110205002 ΦΠΑ καπνικών προϊόντων - εισαγόμενα από τρίτες χώρες
29,Έσοδα,68000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110206 ΦΠΑ εισαγωγής από ηλεκτρονικό εμπόριο
30,Έσοδα,64000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110206001 ΦΠΑ εισαγωγής από το ειδικό καθεστώς εισαγωγής – IOSS
31,Έσοδα,4000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110206002 ΦΠΑ εισαγωγής από τις ειδικές ρυθμίσεις – special arrangements
32,Έσοδα,3559000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110289 ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων
33,Έσοδα,7065000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11103 Ειδικοί φόροι κατανάλωσης
34,Έσοδα,95000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110301 ΕΦΚ υγραερίων
35,Έσοδα,91000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110301001 ΕΦΚ υγραερίων - προϊόντα εγχώρια και από Ε.Ε.
36,Έσοδα,4000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110301002 ΕΦΚ υγραερίων  - εισαγόμενα προϊόντα
37,Έσοδα,1993000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110302 ΕΦΚ βενζινών
38,Έσοδα,1986000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110302001 ΕΦΚ βενζινών  - προϊόντα εγχώρια και από Ε.Ε.
39,Έσοδα,7000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110302002 ΕΦΚ βενζινών  - εισαγόμενα προϊόντα
40,Έσοδα,1469000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110303 ΕΦΚ diesel κίνησης
41,Έσοδα,1268000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110303001 ΕΦΚ diesel κίνησης  - προϊόντα εγχώρια και από Ε.Ε.
42,Έσοδα,201000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110303002 ΕΦΚ diesel κίνησης   - εισαγόμενα προϊόντα
43,Έσοδα,329000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110304 ΕΦΚ diesel θέρμανσης
44,Έσοδα,316000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110304001 ΕΦΚ diesel θέρμανσης - προϊόντα εγχώρια και από Ε.Ε.
45,Έσοδα,13000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110304002 ΕΦΚ diesel θέρμανσης  - εισαγόμενα προϊόντα
46,Έσοδα,150000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110305 ΕΦΚ στην ηλεκτρική ενέργεια
47,Έσοδα,150000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110305001 ΕΦΚ στην ηλεκτρική ενέργεια
48,Έσοδα,30000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110306 ΕΦΚ στο φυσικό αέριο
49,Έσοδα,30000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110306001 ΕΦΚ στο φυσικό αέριο
50,Έσοδα,36000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110309 ΕΦΚ λοιπών ενεργειακών προϊόντων
51,Έσοδα,21000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110309001 ΕΦΚ λοιπών ενεργειακών προϊόντων - εγχώρια και από Ε.Ε.
52,Έσοδα,2229000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110310 ΕΦΚ στα προϊόντα καπνού
53,Έσοδα,2215000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110310001 ΕΦΚ στα προϊόντα καπνού - εγχώρια και από Ε.Ε.
54,Έσοδα,14000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110310002 ΕΦΚ στα προϊόντα καπνού - εισαγόμενα από τρίτες χώρες
55,Έσοδα,365000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110311 ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων
56,Έσοδα,197000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110312 ΕΦΚ στη μπύρα
57,Έσοδα,197000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110312001 ΕΦΚ στη μπύρα - προϊόντα εγχώρια και από Ε.Ε.
58,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110313 ΕΦΚ στο κρασί
59,Έσοδα,1000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110313001 ΕΦΚ στο κρασί - προϊόντα εγχώρια και από Ε.Ε.
60,Έσοδα,144000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110314 Φόρος κατανάλωσης στον καφέ
61,Έσοδα,94000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110314001 Φόρος κατανάλωσης στον καφέ - προϊόντα εγχώρια και από Ε.Ε.
62,Έσοδα,50000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110314002 Φόρος κατανάλωσης στον καφέ - εισαγόμενα προϊόντα
63,Έσοδα,8000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110315 Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο
64,Έσοδα,9000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110317001 Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε κυκλοφορία
65,Έσοδα,10000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110318 Ειδικός φόρος πολυτελείας εμπορευμάτων
66,Έσοδα,355000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11104 Φόροι με μορφή χαρτοσήμου
67,Έσοδα,145000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110401 Τέλη χαρτοσήμου σε μισθώματα από ακίνητα
68,Έσοδα,145000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110401001 Τέλη χαρτοσήμου σε μισθώματα από ακίνητα
69,Έσοδα,59000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110403 Πρόσθετο ποσοστό 20% στα τέλη χαρτοσήμου
70,Έσοδα,59000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110403001 Πρόσθετο ποσοστό 20% στα τέλη χαρτοσήμου
71,Έσοδα,151000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110489 Λοιπά τέλη χαρτοσήμου
72,Έσοδα,151000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110489001 Λοιπά τέλη χαρτοσήμου
73,Έσοδα,640000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11105 Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών
74,Έσοδα,111000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110501 Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων
75,Έσοδα,111000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110501001 Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων
76,Έσοδα,459000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110502 Φόρος στη μεταβίβαση οικοδομών
77,Έσοδα,459000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110502001 Φόρος στη μεταβίβαση οικοδομών
78,Έσοδα,9000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110503 Φόρος στη συγκέντρωση κεφαλαίων
79,Έσοδα,9000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110503001 Φόρος στη συγκέντρωση κεφαλαίων
80,Έσοδα,29000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110507 Φόρος επί των χρηματιστηριακών συναλλαγών
81,Έσοδα,29000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110507001 Φόρος επί των χρηματιστηριακών συναλλαγών
82,Έσοδα,480000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11106 Φόροι ταξινόμησης οχημάτων
83,Έσοδα,402000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110601 Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα
84,Έσοδα,48000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110602 Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα
85,Έσοδα,32000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110602001 Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα - εγχώρια και από Ε.Ε.
86,Έσοδα,13000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110609 Τέλος ταξινόμησης λοιπών οχημάτων
87,Έσοδα,8000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110609001 Τέλος ταξινόμησης λοιπών οχημάτων - εγχώρια και από Ε.Ε.
88,Έσοδα,17000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110610 Έκτακτο περιβαλλοντικό τέλος οχημάτων
89,Έσοδα,17000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110610001 Έκτακτο περιβαλλοντικό τέλος οχημάτων
90,Έσοδα,1975000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,11108 Λοιποί φόροι επί συγκεκριμένων υπηρεσιών
91,Έσοδα,44000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110802 Φόροι στα μικτά κέρδη των καζίνο
92,Έσοδα,11000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110802001 Φόροι στα μικτά κέρδη των καζίνο Κέρκυρας και Πάρνηθας
93,Έσοδα,33000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110802002 Φόροι στα μικτά κέρδη των λοιπών καζίνο
94,Έσοδα,584000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110803 Φόροι στα μικτά κέρδη τυχερών παιγνίων
95,Έσοδα,584000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110803001 Φόροι στα μικτά κέρδη τυχερών παιγνίων
96,Έσοδα,129000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110810 Τέλη Eurocontrol
97,Έσοδα,129000000,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1110810001 Τέλη Eurocontrol
